,User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
217,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-226.0,
218,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0199746,
219,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0668493,
220,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,67.4325,
221,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0169128,
222,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-424.0,
223,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0200475,
224,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,24.6402,
225,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0309096,
226,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,16.4754,
227,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-174.0,
228,11351073,2021-11-12 01:22:29,Spot,Buy,BUSD,-228.34,
229,11351073,2021-11-12 01:22:29,Spot,Buy,LUNA,4.66,
230,11351073,2021-11-12 14:22:33,Spot,Deposit,BUSD,96.78924071,
231,11351073,2021-11-13 11:36:06,Spot,Large OTC trading,USDT,324.55681026,
232,11351073,2021-11-13 11:36:06,Spot,Large OTC trading,BUSD,-324.83226802,
233,11351073,2021-11-13 11:51:43,Spot,Withdraw,USDT,-10.0,Withdraw fee is included
234,11351073,2021-11-13 12:07:45,Spot,Withdraw,USDT,-200.0,Withdraw fee is included
235,11351073,2021-11-14 00:50:24,Spot,Buy,USDT,-114.3192,
236,11351073,2021-11-14 00:50:24,Spot,Fee,LUNA,-0.00218,
237,11351073,2021-11-14 00:50:24,Spot,Buy,LUNA,2.18,
238,11351073,2021-11-14 14:38:42,Spot,Withdraw,LUNA,-5.0,Withdraw fee is included
239,11351073,2021-12-14 22:17:04,Spot,Deposit,USDT,649.40805311,
240,11351073,2021-12-14 22:17:53,Spot,Large OTC trading,USDT,-649.64566337,
241,11351073,2021-12-14 22:17:53,Spot,Large OTC trading,AXS,6.74820518,
242,11351073,2021-12-15 09:43:44,Spot,Withdraw,AXS,-6.74820518,Withdraw fee is included
243,11351073,2021-12-27 12:53:38,Spot,Deposit,AXS,4.0,
244,11351073,2021-12-27 12:54:03,Spot,Large OTC trading,AXS,-4.0,
245,11351073,2021-12-27 12:54:03,Spot,Large OTC trading,ETH,0.1070976,
246,11351073,2021-12-27 14:10:38,Spot,Deposit,AXS,1.0,
247,11351073,2021-12-27 14:32:04,Spot,Deposit,BTC,0.01078568,
248,11351073,2021-12-27 14:37:51,Spot,Large OTC trading,BTC,-0.01078568,
249,11351073,2021-12-27 14:37:51,Spot,Large OTC trading,ETH,0.13545782,
250,11351073,2021-12-27 16:08:06,Spot,Large OTC trading,AXS,-1.0,
251,11351073,2021-12-27 16:08:06,Spot,Large OTC trading,ETH,0.0268635,
252,11351073,2021-12-27 16:12:08,Spot,Deposit,SLP,9615.0,
253,11351073,2021-12-27 16:13:57,Spot,Fee,ETH,-1.861e-05,
254,11351073,2021-12-27 16:13:57,Spot,Sell,ETH,0.01860696,
255,11351073,2021-12-27 16:13:57,Spot,Sell,SLP,-2404.0,
256,11351073,2021-12-27 16:24:43,Spot,Withdraw,ETH,-0.2905061,Withdraw fee is included
257,11351073,2022-01-04 20:20:42,Spot,Withdraw,LUNA,-1.83782,Withdraw fee is included
258,11351073,2022-01-04 21:20:43,Spot,Fee,LUNA,-0.00062,
259,11351073,2022-01-04 21:20:43,Spot,Buy,LUNA,0.62,
260,11351073,2022-01-04 21:20:43,Spot,Buy,USDT,-53.444,
261,11351073,2022-01-04 22:06:25,Spot,Fee,USDT,-0.1860438,
262,11351073,2022-01-04 22:06:25,Spot,Sell,SLP,-7211.0,
263,11351073,2022-01-04 22:06:25,Spot,Sell,USDT,186.0438,
264,11351073,2022-01-04 22:09:16,Spot,Buy,MATIC,14.0,
265,11351073,2022-01-04 22:09:16,Spot,Buy,USDT,-33.6,
266,11351073,2022-01-04 22:09:16,Spot,Fee,MATIC,-0.014,
267,11351073,2022-01-05 09:08:12,Spot,Fee,LUNA,-0.0014,
268,11351073,2022-01-05 09:08:12,Spot,Buy,LUNA,1.4,
269,11351073,2022-01-05 09:08:12,Spot,Buy,USDT,-120.358,
270,11351073,2022-01-05 12:44:35,Spot,Buy,ADA,20.0,
271,11351073,2022-01-05 12:44:35,Spot,Buy,USDT,-26.48,
272,11351073,2022-01-05 12:44:35,Spot,Fee,ADA,-0.02,
273,11351073,2022-01-05 16:11:09,Spot,Fee,LUNA,-0.0005,
274,11351073,2022-01-05 16:11:09,Spot,Buy,LUNA,0.5,
275,11351073,2022-01-05 16:11:09,Spot,Buy,USDT,-42.315,
276,11351073,2022-01-05 17:36:23,Spot,Buy,USDT,-45.65,
277,11351073,2022-01-05 17:36:23,Spot,Fee,LUNA,-0.00055,
278,11351073,2022-01-05 17:36:23,Spot,Buy,LUNA,0.55,
279,11351073,2022-01-05 17:44:14,Spot,Fee,LUNA,-0.00055,
280,11351073,2022-01-05 17:44:14,Spot,Buy,USDT,-45.375,
281,11351073,2022-01-05 17:44:14,Spot,Buy,LUNA,0.55,
282,11351073,2022-01-05 17:51:36,Spot,Buy,MATIC,15.0,
283,11351073,2022-01-05 17:51:36,Spot,Fee,MATIC,-0.015,
284,11351073,2022-01-05 17:51:36,Spot,Buy,USDT,-35.1,
285,11351073,2022-01-06 15:58:42,Spot,Withdraw,LUNA,-3.61638,Withdraw fee is included
286,11351073,2022-01-08 12:22:42,Spot,Withdraw,SOL,-1.50770326,Withdraw fee is included
287,11351073,2022-01-08 23:00:11,Spot,Deposit,UST,181.0,
288,11351073,2022-01-08 23:02:05,Spot,Buy,LUNA,2.65,
289,11351073,2022-01-08 23:02:05,Spot,Fee,LUNA,-0.00265,
290,11351073,2022-01-08 23:02:05,Spot,Buy,UST,-180.147,
291,11351073,2022-01-08 23:10:53,Spot,Withdraw,LUNA,-2.64735,Withdraw fee is included
292,11351073,2022-01-17 11:24:53,Spot,Small assets exchange BNB,BNB,0.06209645,
293,11351073,2022-01-17 11:24:53,Spot,Small assets exchange BNB,ADA,-19.98,
294,11351073,2022-01-17 11:25:29,Spot,Large OTC trading,BNB,-0.06209645,
295,11351073,2022-01-17 11:25:29,Spot,Large OTC trading,USDT,29.95886698,
296,11351073,2022-01-19 07:04:03,Spot,Fee,ROSE,-0.0645,
297,11351073,2022-01-19 07:04:03,Spot,Buy,USDT,-30.315,
298,11351073,2022-01-19 07:04:03,Spot,Buy,ROSE,64.5,
299,11351073,2022-01-20 09:26:58,Spot,Deposit,EUR,19.64,
300,11351073,2022-01-20 09:32:32,Spot,Buy,MATIC,10.7,
301,11351073,2022-01-20 09:32:32,Spot,Buy,EUR,-19.43227,
302,11351073,2022-01-20 09:32:32,Spot,Fee,MATIC,-0.0107,
303,11351073,2022-01-20 10:08:42,Spot,Withdraw,ROSE,-112.0,Withdraw fee is included
304,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,BNB,0.00077222,
305,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,BNB,5.668e-05,
306,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,USDT,-0.02715766,
307,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,EUR,-0.20773,
308,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,BNB,0.00178311,
309,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,UST,-0.853,
310,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,ROSE,-0.81072747,
311,11351073,2022-01-20 10:10:29,Spot,Small assets exchange BNB,BNB,0.00049155,
312,11351073,2022-03-23 22:59:38,Spot,Deposit,SLP,1.0,
313,11351073,2022-03-23 23:01:38,Spot,Deposit,SLP,11195.0,
314,11351073,2022-03-23 23:02:47,Spot,Large OTC trading,SLP,-11196.0,
315,11351073,2022-03-23 23:02:47,Spot,Large OTC trading,UST,247.885038,
316,11351073,2022-03-23 23:57:41,Spot,Withdraw,UST,-247.885038,Withdraw fee is included
317,11351073,2022-04-04 12:15:11,Spot,Deposit,SLP,1.0,
318,11351073,2022-04-04 12:17:10,Spot,Deposit,SLP,1737.0,
319,11351073,2022-04-04 12:18:20,Spot,Large OTC trading,SLP,-1738.0,
320,11351073,2022-04-04 12:18:20,Spot,Large OTC trading,USDT,47.96465584,
321,11351073,2022-04-06 15:44:59,Spot,Buy,USDT,-19.99798,
322,11351073,2022-04-06 15:44:59,Spot,Buy,JASMY,651.4,
323,11351073,2022-04-06 15:44:59,Spot,Buy,USDT,-3.98179,
